X,Y
8.314286,8.814262
8.271429,8.851148
8.400001,8.998689
8.400001,9.035574
8.528572,9.146230
8.528572,9.183115
8.700000,9.330656
8.571429,9.220000
8.614286,9.183115
8.528572,9.146230
8.314286,8.924918
8.357143,8.851148
7.371429,8.703607
7.371429,8.777377
7.242857,8.888033
7.285715,8.924918
7.200000,9.072459
6.985714,9.220000
7.028572,9.256886
7.328572,8.888033
7.328572,8.814262
7.371429,8.777377
7.414286,8.629836
9.557143,8.039672
9.385715,8.039672
9.342857,8.076557
9.300000,8.039672
9.257143,8.076557
9.000000,8.076557
8.957143,8.113442
8.914286,8.076557
8.871428,8.113442
8.914286,8.150328
9.000000,8.076557
9.257143,8.076557
9.300000,8.113442
9.385715,8.039672
9.557143,8.039672
9.600000,8.002787
9.685715,8.039672
9.728572,8.002787
1.757143,0.330656
1.757143,0.404426
1.714286,0.441311
1.757143,0.478197
1.628572,0.625738
1.671429,0.662623
1.671429,0.920820
1.628572,0.957705
1.628572,1.215902
1.585714,1.252787
1.585714,1.547869
1.500000,1.658525
1.542857,1.695410
1.500000,1.769180
1.500000,2.101148
1.457143,2.138033
1.500000,2.174918
1.500000,2.248689
1.457143,2.285574
1.414286,2.654426
1.371429,2.691312
1.414286,2.728197
1.328571,2.838853
1.371429,2.875738
1.371429,3.060164
1.285714,3.170820
1.328571,3.207705
1.328571,3.613443
1.242857,3.687213
1.285714,3.724098
1.285714,3.871639
1.242857,3.908525
1.285714,3.945410
1.285714,4.166721
1.242857,4.203607
1.285714,4.240492
1.285714,4.498688
1.242857,4.535573
1.285714,4.572459
1.285714,4.830656
1.328571,4.867541
1.328571,5.088852
1.285714,5.125738
1.371429,5.199508
1.328571,5.236393
1.414286,5.347049
1.414286,5.531476
1.500000,5.679016
1.457143,5.715901
1.585714,5.900328
1.542857,5.974098
1.628572,6.047869
1.671429,6.232295
1.885714,6.564262
1.842857,6.601148
1.971429,6.711803
2.057143,6.896229
2.185714,7.006885
2.314286,7.228197
2.700000,7.597049
2.700000,7.633934
3.342857,8.187213
3.385714,8.187213
3.900000,8.592951
3.942857,8.592951
4.457143,9.035574
4.500000,9.035574
4.885715,9.367541
4.928572,9.367541
5.185714,9.588853
5.228571,9.588853
5.314286,9.662623
5.271429,9.699509
5.314286,9.773279
5.228571,9.847050
5.271429,9.883935
5.271429,9.994591
5.100000,10.142132
5.142857,10.215902
5.014286,10.363443
5.014286,10.400329
4.885715,10.510984
4.842857,10.621640
4.757143,10.695411
4.714286,10.769181
4.757143,10.806067
4.628572,10.953607
4.671429,10.990492
4.542857,11.138033
4.585714,11.174918
4.585714,11.248689
4.414286,11.506886
4.457143,11.543771
4.414286,11.580656
4.414286,11.691312
4.328571,11.765082
4.371428,11.801968
4.285715,11.949509
4.328571,11.986394
4.285715,12.023279
4.285715,12.097050
4.200000,12.170820
4.242857,12.207705
4.242857,12.318361
4.157143,12.465902
4.157143,12.687214
3.985714,12.834755
3.900000,12.797870
3.814286,12.871640
3.728571,12.871640
3.685714,12.908525
3.557143,12.908525
3.514286,12.945411
3.471429,12.908525
3.342857,12.982296
3.128572,12.982296
2.957143,13.092952
2.914286,13.056067
2.700000,13.203607
2.614286,13.166722
2.442857,13.314262
2.400000,13.314262
2.100000,13.572459
2.100000,13.646230
1.928571,13.830656
1.928571,13.941312
1.885714,13.978197
1.928571,14.015082
1.928571,14.199509
1.885714,14.236394
1.928571,14.273279
1.928571,14.383935
1.842857,14.457705
1.671429,14.457705
1.628572,14.494591
1.242857,14.494591
1.200000,14.531476
1.114286,14.494591
1.071429,14.531476
0.900000,14.531476
0.857143,14.568361
0.771429,14.568361
0.728571,14.531476
0.685714,14.568361
0.557143,14.568361
0.514286,14.531476
0.428571,14.605247
0.042857,14.605247
0.000000,14.642132
0.042857,14.679017
0.128571,14.605247
0.428571,14.605247
0.471429,14.568361
0.514286,14.605247
0.557143,14.568361
0.685714,14.568361
0.728571,14.605247
0.900000,14.531476
1.071429,14.531476
1.114286,14.568361
1.242857,14.494591
1.628572,14.494591
1.671429,14.457705
1.842857,14.457705
1.928571,14.420820
2.057143,14.531476
2.142857,14.752788
2.357143,14.900329
2.357143,14.937214
2.571429,15.121640
2.571429,15.158525
2.442857,15.269181
2.400000,15.232296
2.314286,15.306067
2.014286,15.342952
1.885714,15.416722
1.757143,15.416722
1.714286,15.453608
1.585714,15.416722
1.500000,15.490493
1.371429,15.490493
1.200000,15.564263
1.028571,15.564263
0.985714,15.601148
0.900000,15.564263
0.728571,15.674918
0.600000,15.674918
0.557143,15.711803
0.342857,15.748689
0.257143,15.822459
0.300000,15.785574
0.342857,15.822459
0.471429,15.711803
0.728571,15.674918
0.857143,15.601148
0.900000,15.638033
1.028571,15.564263
1.200000,15.564263
1.242857,15.527378
1.500000,15.490493
1.542857,15.453608
1.628572,15.490493
1.757143,15.416722
1.885714,15.416722
1.928571,15.379837
2.014286,15.416722
2.185714,15.306067
2.314286,15.306067
2.357143,15.269181
2.400000,15.306067
2.571429,15.158525
2.614286,15.158525
2.657143,15.195411
2.742857,15.195411
2.957143,15.379837
3.428571,15.564263
3.514286,15.638033
3.600000,15.638033
3.771429,15.711803
3.857143,15.785574
3.900000,15.748689
3.942857,15.785574
4.114286,15.822459
4.200000,15.896230
4.242857,15.859344
4.371428,15.933115
4.500000,15.933115
4.542857,15.970000
4.757143,16.006886
4.928572,16.117540
5.014286,16.080656
5.057143,16.117540
5.185714,16.117540
5.357143,16.191311
5.485714,16.191311
5.571429,16.265081
5.614286,16.228197
5.700000,16.228197
5.742857,16.265081
5.871429,16.265081
5.914286,16.301968
6.300000,16.338852
6.385715,16.412622
6.428572,16.375738
6.514286,16.412622
6.557143,16.375738
6.600000,16.412622
6.771429,16.412622
6.814286,16.449509
7.028572,16.449509
7.200000,16.523279
7.285715,16.486393
7.328572,16.523279
7.414286,16.523279
7.500000,16.597050
7.671429,16.670820
7.757143,16.744589
7.757143,16.929016
7.714286,16.965900
7.885715,17.113441
7.885715,17.187212
7.971429,17.297869
7.928572,17.371639
8.057143,17.519180
8.057143,17.666721
8.014286,17.703606
8.057143,17.740492
8.057143,17.888033
8.014286,17.961803
7.928572,18.035574
7.542857,18.072458
7.500000,18.109344
7.371429,18.109344
7.328572,18.146229
7.028572,18.146229
6.985714,18.183115
6.728571,18.183115
6.685714,18.219999
6.600000,18.183115
6.557143,18.219999
6.685714,18.219999
6.728571,18.183115
6.985714,18.183115
7.028572,18.146229
7.328572,18.146229
7.371429,18.183115
7.457143,18.146229
7.628572,18.219999
7.585714,18.219999
7.500000,18.109344
7.542857,18.072458
7.714286,18.072458
7.757143,18.035574
7.928572,18.035574
7.971429,18.072458
7.928572,18.109344
7.971429,18.183115
8.014286,18.109344
7.971429,18.072458
7.971429,17.998688
8.057143,17.888033
8.057143,17.740492
8.100000,17.703606
8.057143,17.666721
8.057143,17.519180
8.014286,17.482294
8.057143,17.408524
7.971429,17.334753
7.885715,17.187212
7.885715,17.113441
7.800000,17.039671
7.800000,16.965900
7.757143,16.929016
7.757143,16.781475
7.800000,16.744589
7.842857,16.781475
7.885715,16.744589
7.971429,16.744589
8.014286,16.781475
8.314286,16.818359
8.485715,16.929016
8.528572,16.892130
8.742857,16.892130
8.785714,16.929016
8.828571,16.892130
8.871428,16.929016
8.914286,16.892130
9.000000,16.929016
9.128572,16.855246
9.171429,16.892130
9.300000,16.818359
9.342857,16.855246
9.514286,16.781475
9.642858,16.781475
9.685715,16.818359
9.728572,16.781475
9.771429,16.818359
9.771429,17.002787
9.685715,17.113441
9.771429,17.187212
9.771429,17.297869
9.728572,17.371639
9.814286,17.445410
9.814286,17.556065
9.900001,17.629835
9.985715,17.777376
10.200000,17.961803
10.371428,17.961803
10.414286,17.998688
10.800000,17.998688
10.885715,18.072458
10.928572,18.035574
11.142858,18.072458
11.314286,18.183115
11.357143,18.146229
11.485715,18.146229
11.571429,18.219999
11.614286,18.183115
11.785714,18.219999
11.614286,18.183115
11.571429,18.146229
11.528572,18.183115
11.485715,18.146229
11.357143,18.146229
11.314286,18.109344
11.271429,18.146229
11.142858,18.072458
11.057143,18.072458
10.885715,17.998688
10.414286,17.998688
10.371428,17.961803
10.200000,17.961803
9.985715,17.777376
9.985715,17.740492
9.857143,17.592951
9.900001,17.556065
9.771429,17.408524
9.814286,17.371639
9.771429,17.297869
9.771429,17.187212
9.728572,17.150328
9.771429,17.113441
9.728572,17.076557
9.771429,17.002787
9.771429,16.818359
9.857143,16.744589
9.900001,16.781475
9.985715,16.670820
10.028572,16.707705
10.114286,16.633934
10.157144,16.633934
10.242857,16.523279
10.285714,16.560163
10.414286,16.449509
10.500000,16.449509
10.542857,16.412622
10.585714,16.449509
10.628572,16.412622
10.757143,16.412622
10.800000,16.375738
11.014286,16.375738
11.057143,16.338852
11.271429,16.338852
11.314286,16.301968
11.442858,16.301968
11.485715,16.338852
11.571429,16.265081
11.657144,16.301968
11.742858,16.228197
11.871428,16.228197
12.042857,16.154427
12.214286,16.154427
12.385715,16.080656
12.428572,16.117540
12.471429,16.080656
12.514286,16.117540
12.685715,16.006886
12.771429,16.006886
12.814286,15.970000
12.900001,15.970000
13.071429,15.896230
13.157144,15.933115
13.242858,15.859344
13.414286,15.785574
13.500000,15.785574
13.714286,15.674918
13.842857,15.674918
14.014286,15.564263
14.057143,15.601148
14.185715,15.490493
14.228572,15.527378
14.400001,15.453608
14.485715,15.342952
14.528572,15.379837
14.657144,15.269181
14.785715,15.232296
15.000000,15.047870
15.042857,15.047870
15.171429,14.937214
15.214286,14.937214
15.300000,14.789673
15.428572,14.679017
15.514286,14.715902
15.557143,14.679017
15.642858,14.752788
15.900001,14.752788
15.942858,14.789673
16.328571,14.826558
16.371429,14.863443
16.500000,14.863443
16.542858,14.900329
16.671429,14.900329
16.714287,14.937214
16.885715,14.937214
16.928572,14.974099
17.228573,15.010984
17.314285,15.084755
17.400000,15.047870
17.442858,15.084755
17.528572,15.084755
17.700001,15.158525
17.828571,15.158525
18.000000,15.232296
17.785715,15.158525
17.700001,15.084755
17.657143,15.121640
17.571428,15.121640
17.314285,15.010984
17.271429,15.047870
17.228573,15.010984
17.100000,15.010984
17.057144,14.974099
16.928572,14.974099
16.885715,14.937214
16.714287,14.937214
16.671429,14.900329
16.542858,14.900329
16.500000,14.863443
16.371429,14.863443
16.328571,14.826558
16.157143,14.826558
16.114286,14.789673
15.728572,14.752788
15.642858,14.679017
15.600000,14.679017
15.557143,14.642132
15.642858,14.531476
15.600000,14.494591
15.728572,14.273279
15.728572,14.088853
15.771429,14.051968
15.771429,13.941312
15.728572,13.904427
15.728572,13.646230
15.857143,13.572459
16.028572,13.572459
16.071428,13.609344
16.114286,13.572459
16.157143,13.609344
16.200001,13.572459
16.285715,13.572459
16.328571,13.609344
16.371429,13.572459
16.457144,13.572459
16.500000,13.609344
16.628572,13.609344
16.671429,13.646230
16.714287,13.609344
16.842857,13.609344
16.885715,13.646230
16.928572,13.609344
17.014286,13.609344
17.057144,13.646230
17.100000,13.609344
17.185715,13.609344
17.100000,13.609344
17.057144,13.572459
17.014286,13.609344
16.928572,13.609344
16.885715,13.572459
16.842857,13.609344
16.714287,13.609344
16.671429,13.572459
16.585714,13.609344
16.500000,13.535574
16.457144,13.572459
16.371429,13.572459
16.328571,13.535574
16.285715,13.572459
16.200001,13.572459
16.157143,13.535574
16.114286,13.572459
16.071428,13.535574
16.028572,13.572459
15.857143,13.572459
15.814286,13.535574
15.728572,13.572459
15.600000,13.461803
15.642858,13.424918
15.557143,13.351148
15.557143,13.314262
15.214286,13.019181
15.042857,12.945411
14.957143,12.834755
14.914286,12.871640
14.785715,12.834755
14.700001,12.724099
14.657144,12.760984
14.614286,12.724099
14.485715,12.724099
14.442858,12.687214
14.228572,12.687214
14.185715,12.650329
14.142858,12.687214
13.971429,12.687214
13.928572,12.650329
13.800000,12.650329
13.757143,12.613443
13.714286,12.650329
13.457143,12.650329
13.371428,12.576558
13.328571,12.613443
13.242858,12.539673
13.242858,12.429017
13.114286,12.318361
13.028572,12.170820
13.028572,12.097050
12.942858,11.986394
12.942858,11.912623
12.857143,11.765082
12.900001,11.691312
12.771429,11.580656
12.728572,11.396230
12.642858,11.322459
12.600000,11.174918
12.385715,10.916721
12.300000,10.769181
12.300000,10.695411
12.085714,10.510984
12.085714,10.437214
11.871428,10.289673
11.871428,10.252788
11.700001,10.068361
11.700001,9.994591
11.614286,9.920820
11.442858,9.662623
11.100000,9.367541
11.014286,9.367541
10.842857,9.256886
10.842857,9.220000
11.142858,8.924918
11.100000,8.888033
11.271429,8.777377
11.314286,8.666721
11.828571,8.224099
11.871428,8.224099
12.085714,8.039672
12.128572,8.039672
12.428572,7.818361
12.771429,7.670820
12.985715,7.486393
13.071429,7.486393
13.200001,7.375738
13.242858,7.412623
13.414286,7.228197
13.457143,7.228197
13.542857,7.154426
13.585714,7.191311
13.628572,7.117541
13.800000,6.970000
13.842857,6.970000
14.314286,6.564262
14.314286,6.527377
14.828572,5.974098
14.785715,5.937213
14.871429,5.863442
14.957143,5.715901
15.085714,5.605246
15.042857,5.531476
15.128572,5.457705
15.128572,5.383934
15.257143,5.236393
15.214286,5.199508
15.342857,5.088852
15.300000,5.051967
15.428572,4.904426
15.385715,4.867541
15.471429,4.793770
15.471429,4.683115
15.557143,4.572459
15.642858,4.277377
15.771429,4.129836
15.728572,4.092951
15.728572,4.019180
15.771429,3.982295
15.771429,3.908525
15.814286,3.871639
15.814286,3.724098
15.857143,3.687213
15.857143,3.613443
15.942858,3.465902
15.900001,3.392131
15.942858,3.355246
15.985715,3.170820
16.071428,3.097049
16.028572,3.060164
16.028572,2.986393
16.071428,2.949508
16.071428,2.765082
16.157143,2.691312
16.114286,2.617541
16.157143,2.580656
16.157143,2.396230
16.200001,2.359344
16.200001,2.211803
16.242857,2.174918
16.242857,2.027377
16.285715,1.990492
16.328571,1.547869
16.414286,1.474098
16.371429,1.400328
16.457144,1.326557
16.414286,1.289672
16.414286,1.031475
16.457144,0.994590
16.414286,0.957705
16.414286,0.847049
16.285715,0.699508
16.071428,0.736393
15.900001,0.847049
15.771429,0.883934
15.600000,1.068361
15.514286,1.068361
15.471429,1.142131
15.171429,1.363443
15.128572,1.363443
15.000000,1.510984
14.914286,1.510984
14.742858,1.695410
14.571429,1.769180
14.400001,1.916721
14.357143,1.916721
13.885715,2.248689
13.800000,2.248689
13.714286,2.359344
13.671429,2.322459
13.628572,2.396230
13.542857,2.433115
13.371428,2.580656
13.200001,2.654426
12.942858,2.838853
12.814286,2.875738
12.428572,3.170820
12.385715,3.133934
12.300000,3.244590
12.214286,3.244590
12.085714,3.392131
12.000000,3.392131
11.871428,3.539672
11.785714,3.539672
11.657144,3.687213
11.614286,3.687213
11.442858,3.834754
11.400001,3.834754
11.100000,4.092951
11.014286,4.092951
10.885715,4.203607
10.885715,4.240492
10.800000,4.277377
10.757143,4.351147
10.671429,4.388032
10.628572,4.461803
10.242857,4.793770
10.157144,4.830656
10.200000,4.867541
10.028572,4.978197
9.985715,5.088852
9.771429,5.310164
9.728572,5.420820
9.642858,5.494590
9.642858,5.568360
9.557143,5.642131
9.557143,5.715901
9.385715,5.900328
9.428572,5.937213
9.385715,5.974098
9.385715,6.121639
9.300000,6.232295
9.300000,6.342951
9.257143,6.379836
9.257143,6.490492
9.214286,6.527377
9.214286,6.822459
9.171429,6.859344
9.171429,7.412623
9.128572,7.449508
9.171429,7.486393
9.171429,7.633934
9.042857,7.707705
8.914286,7.707705
8.785714,7.781476
8.742857,7.744590
8.614286,7.818361
8.571429,7.781476
8.400001,7.892131
8.528572,7.818361
8.571429,7.855246
8.657143,7.781476
8.742857,7.818361
8.828571,7.744590
8.914286,7.707705
9.042857,7.707705
9.085714,7.670820
9.171429,7.744590
9.428572,7.818361
9.385715,7.818361
9.171429,7.670820
9.171429,7.486393
9.214286,7.449508
9.171429,7.412623
9.171429,6.859344
9.214286,6.822459
9.214286,6.527377
9.257143,6.490492
9.300000,6.232295
9.385715,6.121639
9.385715,5.974098
9.471429,5.900328
9.471429,5.789672
9.557143,5.715901
9.557143,5.642131
9.642858,5.568360
9.642858,5.494590
9.728572,5.420820
9.728572,5.383934
9.857143,5.310164
9.814286,5.273279
9.900001,5.199508
9.985715,5.051967
10.114286,4.978197
10.114286,4.941311
10.242857,4.830656
10.242857,4.793770
11.400001,3.834754
11.442858,3.834754
11.614286,3.687213
11.785714,3.613443
11.957143,3.465902
12.000000,3.465902
12.171429,3.318361
12.214286,3.318361
12.342857,3.207705
12.385715,3.207705
12.728572,2.949508
12.814286,2.949508
12.900001,2.838853
13.071429,2.765082
13.500000,2.470000
13.542857,2.506885
13.628572,2.396230
13.800000,2.322459
13.971429,2.174918
14.014286,2.211803
14.185715,2.027377
14.228572,2.027377
14.571429,1.769180
14.742858,1.695410
15.085714,1.437213
15.128572,1.437213
15.171429,1.363443
15.342857,1.215902
15.514286,1.142131
15.728572,0.957705
15.857143,0.920820
15.985715,0.773279
16.157143,0.736393
16.200001,0.699508
16.285715,0.699508
16.371429,0.773279
16.414286,0.847049
16.414286,0.957705
16.371429,0.994590
16.414286,1.031475
16.414286,1.289672
16.371429,1.326557
16.414286,1.363443
16.328571,1.474098
16.371429,1.510984
16.328571,1.547869
16.328571,1.769180
16.285715,1.806066
16.285715,1.879836
16.200001,1.953607
16.242857,2.027377
16.242857,2.174918
16.200001,2.211803
16.200001,2.359344
16.157143,2.396230
16.157143,2.580656
16.071428,2.691312
16.114286,2.728197
16.071428,2.765082
16.071428,2.949508
16.028572,2.986393
16.028572,3.060164
15.942858,3.133934
15.985715,3.170820
15.985715,3.244590
15.857143,3.465902
15.900001,3.502787
15.900001,3.576557
15.814286,3.724098
15.814286,3.871639
15.685715,3.982295
15.728572,4.019180
15.728572,4.092951
15.642858,4.203607
15.642858,4.351147
15.514286,4.461803
15.557143,4.498688
15.557143,4.572459
15.471429,4.720000
15.385715,4.793770
15.428572,4.830656
15.342857,4.904426
15.385715,4.978197
15.257143,5.088852
15.300000,5.125738
15.171429,5.236393
15.214286,5.310164
15.128572,5.383934
15.128572,5.457705
15.042857,5.531476
14.957143,5.752787
14.742858,5.974098
14.785715,6.010983
14.442858,6.379836
14.442858,6.416721
14.314286,6.527377
14.314286,6.564262
13.842857,6.970000
13.800000,6.970000
13.628572,7.117541
13.585714,7.117541
13.157144,7.412623
13.071429,7.412623
12.857143,7.597049
12.771429,7.597049
12.685715,7.670820
12.642858,7.670820
12.557143,7.781476
12.428572,7.818361
12.300000,7.929016
12.257143,7.929016
12.128572,8.039672
